adjective,noun
audience,mean
behind,parent
decision,summer
central,chair
teacher,tree
page,radio
ready,course
able,determine
scene,with
long,expert
what,help
college,senior
last,hospital
man,training
get,plant
challenge,one
fear,true
main,carry
include,just
doctor,early
watch,another
child,leg
town,four
enjoy,such
social,right
approach,compare
international,never
future,land
process,mother
easy,kind
still,meeting
else,material
mouth,hand
nothing,arm
hope,special
instead,way
protect,camera
mind,quality
direction,wind
culture,science
officer,style
receive,other
those,level
nice,yourself
very,nor
TV,base
hold,purpose
share,though
simply,American
explain,cup
environmental,night
floor,firm
know,which
two,worker
happy,source
stay,quickly
religious,thus
adult,own
decade,various
hundred,we
stock,manage
yard,wear
opportunity,hard
admit,tough
through,scientist
figure,best
feel,artist
believe,knowledge
smile,hot
pattern,former
describe,yet
north,wide
bag,how
of,movie
environment,add
can,food
attention,society
article,walk
beat,movement
fight,wonder
commercial,the
it,beyond
create,full
across,leader
care,end
weight,on
go,industry
however,simple
address,customer
note,fire
ask,bank
vote,cost
small,same
respond,allow
cultural,contain
than,property
per,toward
happen,boy
say,play
power,miss
cover,star
price,me
project,strategy
when,inside
himself,everyone
thing,front
whom,let
kid,age
all,street
assume,put
itself,author
debate,ability
poor,develop
general,writer
give,must
financial,account
light,middle
available,this
final,threat
fact,phone
prepare,million
single,whatever
then,that
shoulder,owner
someone,accept
short,trip
administration,cell
sound,cut
something,without
machine,build
after,hit
moment,they
near,sea
yes,alone
finally,lead
spring,reduce
behavior,act
organization,item
public,budget
unit,deal
reveal,join
education,value
time,not
while,report
throw,follow
step,travel
building,difficult
along,recent
avoid,attack
need,investment
them,idea
successful,people
arrive,consumer
rich,look
card,serve
some,business
particular,air
today,oil
keep,improve
spend,democratic
lose,expect
usually,deep
game,stop
foreign,seek
see,blue
according,conference
him,white
talk,provide
against,fill
every,us
above,born
institution,wish
coach,enter
civil,friend
already,war
here,choice
her,exist
several,relate
lawyer,affect
take,form
no,occur
run,about
especially,recently
road,perform
probably,defense
ago,from
grow,either
total,cold
question,notice
onto,evening
current,world
likely,blood
personal,these
rock,mission
politics,key
set,option
effort,door
television,seven
dog,group
medical,maybe
